근육명,,증상명,원인내용
흉쇄유돌근,,이마에 땀이 난다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,무게에 대한 감각이 둔하다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,실신한다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
대흉근,,잠을 설친다,"책을 읽거나 글씨를 쓸 경우 등이 굽은 자세로 있을 때, 전기톱을 사용하였을 때, 불안한 상태가 지속될 때, 심근경색이 있을 때"
대흉근,,가슴이 조인다,"책을 읽거나 글씨를 쓸 경우 등이 굽은 자세로 있을 때, 전기톱을 사용하였을 때, 불안한 상태가 지속될 때, 심근경색이 있을 때"
대흉근,,젖꼭지의 감각이 예민해서 브라를 입으면 아프다,"책을 읽거나 글씨를 쓸 경우 등이 굽은 자세로 있을 때, 전기톱을 사용하였을 때, 불안한 상태가 지속될 때, 심근경색이 있을 때"
대흉근,,심장박동이 불규칙하다,"책을 읽거나 글씨를 쓸 경우 등이 굽은 자세로 있을 때, 전기톱을 사용하였을 때, 불안한 상태가 지속될 때, 심근경색이 있을 때"
흉골근 ,,마른 기침을 한다,"심근경색, 협심증, 근육에 대한 직접적인 외상"
늑간근 ,,아픈 쪽으로 눕기 어렵다,"직접적인 외상, 심한 기침, 흉부 수술, 대상포진, 늑골 골절 등이 있을 때, 기흉이나 늑막염이 있을 때"
늑간근 ,,심장박동이 불규칙하다,"직접적인 외상, 심한 기침, 흉부 수술, 대상포진, 늑골 골절 등이 있을 때, 기흉이나 늑막염이 있을 때"
전거근 ,,숨쉬기 어렵다,"빠르게 달리기, 오래 달리기, 팔굽혀 펴기, 머리 위로 무거운 물건 들기, 심한 기침을 하였을 때, 운전을 하던 중에 사고를 피하기 위하여 운전대를 갑자기 돌렸을 때, 팔은 물건을 잡은 상태에서 몸통을 돌린 경우 "
전거근 ,,숨을 깊게 쉬기 어렵다,"빠르게 달리기, 오래 달리기, 팔굽혀 펴기, 머리 위로 무거운 물건 들기, 심한 기침을 하였을 때, 운전을 하던 중에 사고를 피하기 위하여 운전대를 갑자기 돌렸을 때, 팔은 물건을 잡은 상태에서 몸통을 돌린 경우 "
상후거근 ,,손을 쭉 뻗어서 물건을 들어올릴 때 아프다,"폐렴이나 천식 환자처럼 힘들게 호흡할 때, 기침을 하였을 때, 책상의 높은 곳에서 오랫동안 글씨를 썼을 때"
상후거근 ,,통증이 있는 쪽을 아랫쪽으로 하고 누우면 아프다,"폐렴이나 천식 환자처럼 힘들게 호흡할 때, 기침을 하였을 때, 책상의 높은 곳에서 오랫동안 글씨를 썼을 때"
교근,,입이 잘 벌어지지 않는다,"만성적으로 입으로 숨쉬는 경우, 얼음이나 호두 같이 단단한 것을 갑자기 힘주어 깨물었을 경우, 외상, 이를 가는 경우, 껌을 오래 씹거나 손톱을 물어 뜯는 경우, 의치를 한 경우, 시거를 오래 물고 있기, 정신적인 스트레스, 치과에서 치료하는 동안 입을 오래 벌리고 있는 경우, 경추 견인을 하면서 입을 오래 다물고 있는 경우, 사고에 의한 직접적인 외상, 악관절염, 만성적인 치아의 염증"
흉장륵근,,몸통의 움직임이 많이 제한된다,"갑작스럽게 몸을 구부리면서 비트는 동작이 동시에 이루어 질 때-특히 피로하거나 차가운 환경에서, 갑작스런 부하가 주어졌을 때, 장시간 반복하거나 지속적으로 근육이 수축을 하였을 때, 평발, 편타성 손상, 오래 꼼짝하지 않고 앉아 있을 때"
요장륵근,,걸상에서 일어나기와 계단을 오르기 어렵다,"갑작스럽게 몸을 구부리면서 비트는 동작이 동시에 이루어 질 때-특히 피로하거나 차가운 환경에서, 갑작스런 부하가 주어졌을 때, 장시간 반복하거나 지속적으로 근육이 수축을 하였을 때, 평발, 편타성 손상, 오래 꼼짝하지 않고 앉아 있을 때"
흉최장근,,몸통의 움직임이 많이 제한된다,"갑작스럽게 몸을 구부리면서 비트는 동작이 동시에 이루어 질 때-특히 피로하거나 차가운 환경에서, 갑작스런 부하가 주어졌을 때, 장시간 반복하거나 지속적으로 근육이 수축을 하였을 때, 평발, 편타성 손상, 오래 꼼짝하지 않고 앉아 있을 때"
다열근,,몸통의 움직임이 많이 제한된다,"갑작스럽게 몸을 구부리면서 비트는 동작이 동시에 이루어 질 때-특히 피로하거나 차가운 환경에서, 갑작스런 부하가 주어졌을 때, 장시간 반복하거나 지속적으로 근육이 수축을 하였을 때, 평발, 편타성 손상, 오래 꼼짝하지 않고 앉아 있을 때"
다열근,,척추의 뼈(극돌기)가 지속해서 아픈 것으로 호소한다,"갑작스럽게 몸을 구부리면서 비트는 동작이 동시에 이루어 질 때-특히 피로하거나 차가운 환경에서, 갑작스런 부하가 주어졌을 때, 장시간 반복하거나 지속적으로 근육이 수축을 하였을 때, 평발, 편타성 손상, 오래 꼼짝하지 않고 앉아 있을 때"
승모근,,어지럽다,"양쪽 다리 길이에 차이가 있을 때, 한쪽 골반이 작을 때, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 길이가 너무 긴 지팡이를 사용하는 경우, 컴퓨터 자판이 너무 높을 때, 무거운 물건을 오래 들었을 때, 젖가슴이 큰 여성이 좁은 어깨끈의 브라를 했을 때, 무거운 코트를 입었을 때, 전화 수화기를 어깨와 턱사이에 고이고 전화를 하였을 때, 옆에 있는 사람과 대화를 하기 위해 오랫동안 고개를 옆으로 돌리고 있는 경우"
승모근,,머리를 한쪽으로 끝까지 돌리면 반때쪽에 통증이 나타난다,"양쪽 다리 길이에 차이가 있을 때, 한쪽 골반이 작을 때, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 길이가 너무 긴 지팡이를 사용하는 경우, 컴퓨터 자판이 너무 높을 때, 무거운 물건을 오래 들었을 때, 젖가슴이 큰 여성이 좁은 어깨끈의 브라를 했을 때, 무거운 코트를 입었을 때, 전화 수화기를 어깨와 턱사이에 고이고 전화를 하였을 때, 옆에 있는 사람과 대화를 하기 위해 오랫동안 고개를 옆으로 돌리고 있는 경우"
요추능형근,,발과 다리가 화끈거린다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
내측익상근 ,,침이나 음식을 삼킬 때 아프다,"머리가 몸보다 앞으로 나간 자세, 엄지 손가락 빠는 습관, 껌을 심하게 씹는 경우, 이를 가는 경우, 이를 꽉 다물고 있는 경우, 정신적인 긴장, 외측 익상근에 대한 이차적인 통증유발점 발생"
두반극근 ,,뒷 머리가 아파서 베개를 벨 수 없다,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비전을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
승모근,,아픈 부분을 비빈다,"앉아서 오랫 동안 구부린 채로 팔을 내뻗고 있을 때, 손으로 턱을 고이고 있는 경우 "
경반극근 ,,뒷 머리가 아파서 베개를 벨 수 없다,"교통사고나 수영장에서 다이빙을 하다가 머리를 부딪치는 경우, 오랫동안 고개를 숙이고 있는 경우, 엎드려서 텔레비전을 보는 경우, 무거운 코트의 단단한 목칼라가 목을 누르는 경우, 바느질을 하거나, 책을 읽거나 글을 쓰고, 컴퓨터를 다루면서 계속 목을 앞으로 숙이고 있을 때"
견갑거근 ,,목이 뻣뻣하다,"고개를 돌려 옆에 있는 원고를 보면서 키보드를 치는 경우, 전화를 오래 거는 경우, 무거운 가방을 들 때, 고개를 한쪽으로 숙이고 잠을 잔 경우, 세상의 무게가 어깨를 누르는 것 같은 정신적인 스트레스, 의자에 앉아 높은 팔걸이에 팔을 얹고 있는 경우, "
사각근 ,,소파에 앉아서 잔다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
사각근 ,,손가락 마디가 뻣뻣하다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
최소사각근 ,,엄지 손가락 감각이 무디다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
극상근,,팔을 옆으로 들어올릴 때 대단히 아프다,"무거운 물건 옮기기, 질퍽한 논에서 경운기를 사용하는 경우, 팔을 뻗어서 물건을 어깨 높이로 들어 올릴 때"
제일배측골간근 ,,손가락 마디가 아프다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
소지외전근 ,,손이 뻣뻣하다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
소지외전근 ,,손가락 마디에 혹이 생겼다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
소지외전근 ,,"단추 채우기, 바느질 등이 어렵다","손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
소지외전근 ,,손가락 마디가 아프다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
제이배측골간근 ,,손이 뻣뻣하다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
제이배측골간근 ,,손가락 마디에 혹이 생겼다,"손끝으로 작은 물건을 잡는 것을 지속적, 반복적으로 하였을 때, 손으로 잡초 뽑기, 연장을 오랫동안 힘주어 잡았을 때 "
대흉근,,팔을 앞으로 들었던 팔을 옆으로 벌릴 때 어깨의 운동 범위가 제한된다.,"책을 읽거나 글씨를 쓸 경우 등이 굽은 자세로 있을 때, 전기톱을 사용하였을 때, 불안한 상태가 지속될 때, 심근경색이 있을 때"
대흉근,,젖가슴이 아프다,"책을 읽거나 글씨를 쓸 경우 등이 굽은 자세로 있을 때, 전기톱을 사용하였을 때, 불안한 상태가 지속될 때, 심근경색이 있을 때"
소흉근 ,,손을 앞으로 뻗어 어깨 높이로 올리기 어렵다,"심근허혈, 늑골 골절, 편타성 손상, 가슴을 웅크리고 작업을 하는 경우, 심하게 기침을 하는 경우, 배낭의 끈에 의해서 조이는 경우, 승모근의 근약증이 있을 때"
전거근 ,,딸꾹질을 한다,"빠르게 달리기, 오래 달리기, 팔굽혀 펴기, 머리 위로 무거운 물건 들기, 심한 기침을 하였을 때, 운전을 하던 중에 사고를 피하기 위하여 운전대를 갑자기 돌렸을 때, 팔은 물건을 잡은 상태에서 몸통을 돌린 경우 "
상후거근 ,,쉬는 동안에 어깨와 팔의 통증이 계속된다,"폐렴이나 천식 환자처럼 힘들게 호흡할 때, 기침을 하였을 때, 책상의 높은 곳에서 오랫동안 글씨를 썼을 때"
장모지신근 ,,소아시절에는 과도한 육체적인 활동 후에 나타나는 성장통이 있다,"자동차 가속 페달이 빡빡한 경우, 굽이 높은 신을 신었을 때, 아킬레스 건이 짧아진 경우, 달리기를 많이 한 때, 고르지 않은 길을 걸었을 때, 비골이나 경골이 골절되었을 때, 발을 발바닥쪽으로 구부린채 잠을 잤을 때"
장족지굴근 ,,신발을 바꾸거나 깔창을 맞추었다,"울퉁불퉁한 길이나 옆으로 경사진 길에서 달리기를 하였을 때, 평발이 심한 경우, 발의 아치가 높은 경우, 많이 닳은 신발을 신고 달리기를 한 경우, 신발의 바닥이 너무 뻣뻣한 경우"
모지외전근 ,,다리를 절며 조금 밖에 걸을 수 없다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
단족지굴근 ,,다리를 절며 조금 밖에 걸을 수 없다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
모지내전근 ,,발이 부은 느낌이다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
단모지굴근 ,,통증 때문에 걷기 어렵다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
족골간근,,발이 부은 느낌이다,"신발이 발을 조일 때, 발에 골절이 있을 때, 발에 타박상을 입었을 때, 발가락으로 단단한 것을 찼을 때, 모래 위를 걸었을 때, 울퉁불퉁한 길을 걸었을 때, 추운날 젖은 양말을 신었을 때, 평발이 심할 때, 신발 바닥이 뻣뻣한 경우"
사각근 ,,고개가 다 돌아가지 않는다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
사각근 ,,손등이 붓는다,"직접적인 외상, 무거운 것을 들었을 때, 수영 시합을 하였을 때, 커다란 물건 옮기기, 갑작스럽게 심한 기침을 하였을 때, 편타성 손상, 양쪽 다리 길이에 차이가 있거나 골반의 크기가 달라서  어깨의 높이가 다른 경우"
극하근,,어깨의 관절 운동범위가 줄었다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
극하근,,등뒤에서 브래지어를 잠그지 못한다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
극하근,,아픈 쪽으로 눕기 어렵다,"팔을 위와 뒤로 뻗어서 침대 밑의 전등에 손을 뻗었을 때, 처음 스케이트를 타는 사람을 끌고 다녔을 때, 긴 막대를 많이 지쳤을 때"
견갑하근 ,,뇌졸중 환자의 어깨가 빠졌다,"수영(자유형)을 하거나 야구공을 던지면서 팔을 많이 사용하였을 때, 어린 아이를 들어서 머리위와 다리 가랭이 사이로 왔다 갔다 흔드는 경우, 견관절의 탈구, 넘어지지 않으려고 어깨를 뒤로 제쳤을 때, 상완골의 원위부에 골절이 있을 때, 겨드랑이가 붙은 채로 팔을 오랫동안 움직이지 못하도록 하였을 때"
"삼두박근,장두",,골프나 테니스를 하면서 팔꿈치를 힘차게 펼 때 아프다,"길이가 긴 지팡이를 심하게 사용하였을 때, 테니스를 치면서 백핸드로 하다가 헛손질을 하였을 때, 수동변속기 자동차를 가지고 시내 주행을 하였을 때, 복사를 하면서 책을 여러 번 눌렀을 때, 글씨를 쓰면서 반대쪽 손으로 종이를 잡고 있을 때"
"장,단족지신근 ",,신발을 바꾸거나 깔창을 맞추었다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
족소지외전근 ,,신발을 바꾸거나 깔창을 맞추었다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
족소지외전근 ,,다리를 절며 조금 밖에 걸을 수 없다,"신발이 발을 조일 때, 석고 붕대를 하고 발가락을 움직이지 못했을 때, 심한 평발인 경우, 발에 외상이 가해진 경우, 미끄러운 바닥에서 바퀴달린 의자를 굴리려고 할 때, 울퉁불퉁한 길에서 달리기를 하였을 때 "
대관골근 ,,통증이 코에서 앞이마까지 나타난다,저작근의 경련으로 입을 꽉 다물고 있는 경우
활경근 ,,볼과 턱 주변에 따끔따끔하게 찌르는 통증이 있다,흉쇄유돌근에 대한 이차적인 통증유발점 발생
협근 ,,음식을 씹으면 광대뼈 아래의 통증이 심해진다,틀니가 잘 맞지 않을 때
협근 ,,침이나 음식을 삼키기 어렵다,틀니가 잘 맞지 않을 때
후두근 ,,뒷 머리가 아파서 베개를 벨 수 없다,시력이 나빠서 이마의 근육을 강하게 수축시키는 경우
요추능형근,,기침이나 재채기를 하면 통증이 심해진다,"아이나 무거운 물건을 이상한 자세로 들 때, 자동차에서 내리려고 의자에서 일어나던 중, 엉거주춤하게 서서 바지를 입는 도중, 교통사고를 당했을 경우, 활동 중에 반복해서 접질린 때, 한쪽 다리에 석고붕대를 하여 다리 길이에 차이가 생겼을 때, 한쪽 골반이 작은 경우, 많이 푹신한 침대를 사용한 경우, 앞에 기대지 않은 채로 허리를 숙인 경우"
장요근 ,,굳은 변을 볼 때 아프다,"운전석에 앉는 것처럼 고관절을 많이 구부리고 오래 앉아 있을 때, 쪼그리고 잠을 잔 경우, 임신, 일어났다 앉았다를 반복한 경우, 다리 길이가 차이나는 경우"
내폐쇄근 ,,대장이 가득 찬 느낌이 든다,"심하게 주저 앉았을 때, 자동차 사고, 골반 주변에 수술을 받았을 경우, 오랫동안 웅크린 자세로 앉아 있을 때, 천장관절에 이상이 있을 때, 만성 치질이나 만성 골반내 염증이 있을 때"
대둔근,,앉아 있으면 엉덩이가 아프다,"주저 앉았을 때, 몸을 앞으로 구부리고 언덕을 오랫동안 올라갈 때, 자극성 약물의 근육 주사를 맞았을 때, 수영(자유형)을 하였을 때, 무릎은 펴고 약간 뒤로 기대어 오랫동안 앉아 있을 때, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 엄지 발가락의 중족지골이 짧을 때"
대둔근,,앉아 있으면 안절부절못한다,"주저 앉았을 때, 몸을 앞으로 구부리고 언덕을 오랫동안 올라갈 때, 자극성 약물의 근육 주사를 맞았을 때, 수영(자유형)을 하였을 때, 무릎은 펴고 약간 뒤로 기대어 오랫동안 앉아 있을 때, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 엄지 발가락의 중족지골이 짧을 때"
대둔근,,오래 앉아 있으면 몸부림 친다,"주저 앉았을 때, 몸을 앞으로 구부리고 언덕을 오랫동안 올라갈 때, 자극성 약물의 근육 주사를 맞았을 때, 수영(자유형)을 하였을 때, 무릎은 펴고 약간 뒤로 기대어 오랫동안 앉아 있을 때, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 엄지 발가락의 중족지골이 짧을 때"
중둔근,,쭈그린 자세로 앉을 수 없다,"갑자기 주저 앉았을 때, 달리기, 장시간의 테니스, 에어로빅, 모래사장을 오래 걷는 등의 스포츠 손상, 한 쪽 다리로 오래 서있을 때, 둘째 발가락의 중족지골이 길 때, 천장관절이 어긋났을 때, 쪼그리고 잠을 잤을 경우, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때"
소둔근,,걷다가 다리를 전다,"주저 앉기, 먼거리를 빨리 걷기, 무리한 달리기, 오랫동안 움직이지 않았을 때, 천장관절에 이상이 있을 때, 양발을 모으고 서있는 경우, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 척추 후궁절제술을 한 후에 통증이 남아있는 경우는 신경근병증에 의해서 활성화된 것이다"
소둔근,,의자에서 일어날 때 넓적다리 뒤가 아프다,"주저 앉기, 먼거리를 빨리 걷기, 무리한 달리기, 오랫동안 움직이지 않았을 때, 천장관절에 이상이 있을 때, 양발을 모으고 서있는 경우, 바지 뒷주머니에 지갑을 넣은 채로 앉았을 때, 척추 후궁절제술을 한 후에 통증이 남아있는 경우는 신경근병증에 의해서 활성화된 것이다"
이상근 ,,여성인 경우 성관계를 할 때 아프다,"쪼그려 앉으면서 다리 가랭이 사이에 큰 물건을 내려 놓을 때, 무거운 물건을 들기 위해서 허리를 구부린 채로 옆으로 비틀었을 때, 누워서 고관절을 구부린 채 다리를 벌리고 있는 경우, 둔부에 대한 직접적인 타박상, 운전을 하면서 가속 패달을 오랫동안 밟고 있을 때, 골반내 염증이 있을 때, 고관절에 관절염이 있을 때"
대퇴근막장근 ,,다리를 많이 구부리고 오래 동안 앉아 있으면 아프다,"높은 곳에서 뛰어 내리면서 양발로 착지하였을 때, 언덕길을 달려서 오르내렸을 때, 규칙적으로 한쪽으로 기울어진 길을 걸었을 때, 쪼그리고 잠을 잤을 때, 고관절을 많이 구부리고 오래 앉았을 때"
척측수근신근 ,,"주먹 쥐는 힘이 약하다(테니스 라켓을 놓친다, 주스병에서 주스를 따르기 어렵다)","척골이 골절 되었을 때, 오십견이 있어서 손목을 많이 사용하였을 때"
승모근,,팔에 닭살이 돋는다,"오랫 동안 운전대 위를 잡고 운전하는 것처럼 팔을 앞으로 나란히 자세로 오래 있을 때, 등이 둥그렇게 굽은 경우"
단요측수근신근 ,,"주먹 쥐는 힘이 약하다(테니스 라켓을 놓친다, 주스병에서 주스를 따르기 어렵다)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
단요측수근신근 ,,손을 꽉 쥐면 팔꿈치가 아프다(악수할 때),"모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
장요측수근신근 ,,손을 꽉 쥐면 아프다(악수할 때),"모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
완요골근 ,,"손목을 힘주어 비틀면 통증이 심해진다(문고리 돌릴 때, 나사못을 돌려 박을 때)","모종삽으로 잡초를 뽑았을 때, 악수를 많이 하였을 때, 자동차 유리의 성애를 제거하였을 때, 다리미질을 많이 하였을 때, 나사못 드라이버를 많이 사용하였을 때, 크고 무거운 문진을 반복해서 들었을 때"
수지신전근,,손을 꽉 쥐면 팔꿈치가 아프다(악수할 때),농작업 시 힘들게 반복해서 손가락을 사용하였을 때
수지신전근,,손가락 마디가 뻣뻣하면서 아프다,농작업 시 힘들게 반복해서 손가락을 사용하였을 때
시지신전근 ,,손가락 마디가 뻣뻣하면서 아프다,농작업 시 힘들게 반복해서 손가락을 사용하였을 때
회외근 ,,테니스를 치거나 무거운 물건을 들면 아프다,"반복적이고 지속적으로 팔꿈치를 편 채로 힘들여서 외전하였을 때, 뻣뻣한 문 손잡이를 돌렸을 때, 손으로 빨래를 짤 때, 단단히 잠긴 병뚜껑을 열려고 할 때, 벽을 손으로 청소할 때, 악수를 많이 하였을 때  "
장장근 ,,나사못 드라이버 같은 공구를 손바닥으로 잡기 어렵다,"넘어지면서 손목이 뒤로 젖혀진 상태로 손을 짚었을 때, 지팡이의 손잡이를 손바닥으로 잡았을 떄, 나사못 드라이버의 뒤 끝을 손바닥으로 잡았을 때, 테니스 채의 손잡이 끝을 손바닥으로 잡았을 때 "
요측수근굴근 ,,두꺼운 천을 자르거나 정원일을 할 때 가위를 사용하기 어렵다,"긴 막대를 오래 잡고 있을 때, 목수가 연장을 오래 잡고 있을 때"
흉쇄유돌근,,이명 또는 귀에서 소리가 들린다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,눈물이 난다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
흉쇄유돌근,,눈의 흰동자가 붉어진다,"급성 또는 만성으로 무리한 경우, 머리를 앞으로 많이 내민 자세, 텔레비젼을 보거나 대화를 하면서 오래 동안 한쪽으로 고개를 돌리고 앉아 있을 때, 베개를 높이 벤 경우, 천장 페인트 칠하기, 칠판에 글씨 쓰기, 커튼 달기, 무대가 높은 극장의 앞좌석에서 관람한 경우, 자동차 사고 때 목이 휘청한 경우(편타성 손상), 기흉이나 천식으로 인한 만성 기침, 셔츠나 넥타이로 목이 조이는 경우, 요추 천자후 두통, 축농증이나 치아의 화농"
